Date,Open,High,Low,Close,Volume,OpenInt
2006-08-01,19.241,19.27,19.085,19.27,25624,0
2006-08-02,19.318,19.465,19.318,19.389,9932,0
2006-08-03,19.234,19.389,19.209,19.357,14117,0
2006-08-04,19.618,19.658,19.449,19.478,20749,0
2006-08-07,19.408,19.431,19.357,19.357,31304,0
2006-08-08,19.69,19.69,19.241,19.279,14561,0
2006-08-09,19.487,19.596,19.397,19.397,7784,0
2006-08-10,19.256,19.325,19.209,19.325,11505,0
2006-08-11,19.179,19.194,19.085,19.187,8753,0
2006-08-14,19.381,19.381,19.241,19.248,17484,0
2006-08-15,19.487,19.666,19.487,19.666,18203,0
2006-08-16,19.796,19.796,19.718,19.789,10871,0
2006-08-17,19.773,19.782,19.674,19.718,15961,0
2006-08-18,19.69,19.789,19.626,19.759,13026,0
2006-08-21,19.825,19.865,19.796,19.804,34165,0
2006-08-22,19.65,19.733,19.65,19.71,11483,0
2006-08-23,19.718,19.718,19.57,19.579,5176,0
2006-08-24,19.69,19.703,19.587,19.632,8662,0
2006-08-25,19.535,19.626,19.535,19.612,4227,0
2006-08-28,19.612,19.789,19.612,19.759,7201,0
2006-08-29,19.857,19.857,19.658,19.825,11819,0
2006-08-30,20.081,20.081,19.841,19.904,8404,0
2006-08-31,20.081,20.081,19.825,19.833,9659,0
2006-09-01,19.857,19.973,19.857,19.928,4172,0
2006-09-05,20.081,20.081,19.841,19.965,11864,0
2006-09-06,19.973,19.973,19.596,19.618,13809,0
2006-09-07,19.248,19.465,19.179,19.431,7690,0
2006-09-08,20.072,20.072,19.325,19.35,58210,0
2006-09-11,19.341,19.341,19.179,19.297,9454,0
2006-09-12,19.973,19.973,19.426,19.549,63444,0
2006-09-13,19.965,19.965,19.503,19.612,15233,0
2006-09-14,19.789,19.789,19.542,19.549,5041,0
2006-09-15,19.542,19.542,19.341,19.397,10089,0
2006-09-18,19.408,19.471,19.381,19.465,17814,0
2006-09-19,19.542,19.542,19.209,19.218,6026,0
2006-09-20,19.209,19.549,19.209,19.478,12599,0
2006-09-21,19.397,19.65,19.397,19.587,19609,0
2006-09-22,19.604,19.604,19.487,19.487,2143,0
2006-09-25,19.773,19.773,19.381,19.57,11647,0
2006-09-26,19.341,19.674,19.256,19.658,12021,0
2006-09-27,19.965,19.965,19.666,19.75,6222,0
2006-09-28,19.804,19.804,19.733,19.733,5446,0
2006-09-29,19.725,19.766,19.725,19.725,3615,0
2006-10-02,19.965,19.965,19.65,19.782,24826,0
2006-10-03,19.683,19.773,19.683,19.71,4586,0
2006-10-04,19.69,19.888,19.674,19.888,8604,0
2006-10-05,19.888,19.935,19.841,19.935,67802,0
2006-10-06,19.666,19.804,19.666,19.773,5890,0
2006-10-09,19.69,19.841,19.658,19.819,5621,0
2006-10-10,19.819,19.865,19.683,19.865,5578,0
2006-10-11,19.956,19.956,19.782,19.872,10269,0
2006-10-12,19.981,20.122,19.981,20.122,4709,0
2006-10-13,20.335,20.335,20.072,20.113,19879,0
2006-10-16,20.267,20.267,20.166,20.244,4604,0
2006-10-17,20.244,20.406,20.034,20.113,8563,0
2006-10-18,20.323,20.323,20.113,20.136,4358,0
2006-10-19,20.296,20.305,20.287,20.287,2068,0
2006-10-20,20.406,20.406,20.342,20.381,5709,0
2006-10-23,20.444,20.444,20.058,20.381,11378,0
2006-10-24,20.365,20.39,20.219,20.381,8742,0
2006-10-25,20.444,20.936,20.444,20.588,4046,0
2006-10-26,21.06,21.06,20.575,20.69,12139,0
2006-10-27,20.769,20.769,20.56,20.56,5940,0
2006-10-30,20.612,20.612,20.483,20.511,9373,0
2006-10-31,20.667,20.667,20.503,20.581,99859,0
2006-11-01,20.705,20.722,20.552,20.575,8132,0
2006-11-02,20.503,20.776,20.483,20.575,44685,0
